transaction_id,transaction_date,transaction_amount,account_number,category_id,type
1,8/29/2023,484.39,1293812389,22016000,outgoing
2,7/7/2023,2480.54,1293812389,22014000,outgoing
3,3/15/2024,717.67,1293812389,17006001,outgoing
4,3/31/2024,2592.28,1293812389,13005032,outgoing
5,12/19/2023,2511.72,1293812389,20015000,outgoing
6,8/5/2023,2675.65,1293812389,22014000,outgoing
7,5/3/2024,2485.64,1293812389,19019000,outgoing
8,8/12/2023,2869.01,1293812389,20015000,outgoing
9,12/5/2023,673.24,1293812389,17007000,outgoing
10,9/2/2023,588.81,1293812389,13005032,outgoing
11,10/26/2023,288.8,1293812389,17006001,incoming
12,8/22/2023,2915.52,1293812389,19001000,outgoing
13,1/13/2024,412.53,1293812389,17007000,outgoing
14,7/22/2023,1591.3,1293812389,18030000,outgoing
15,9/19/2023,2519.58,1293812389,13005032,outgoing
16,10/12/2023,2910.39,1293812389,22009000,outgoing
17,9/25/2023,1863.42,1293812389,13005032,outgoing
18,2/1/2024,1282.75,1293812389,18004000,incoming
19,12/7/2023,1411.16,1293812389,19013000,outgoing
20,12/31/2023,2746.23,1293812389,22009000,incoming
21,5/7/2024,2411.77,1293812389,22009000,outgoing
22,10/30/2023,2443.7,1293812389,19019000,outgoing
23,4/24/2024,132.55,1293812389,17006001,outgoing
24,2/27/2024,128.68,1293812389,13005032,outgoing
25,8/20/2023,1384.21,1293812389,18030000,outgoing
26,1/10/2024,2298.19,1293812389,19001000,outgoing
27,10/22/2023,1707.2,1293812389,18030000,outgoing
28,7/10/2023,815.9,1293812389,18009000,outgoing
29,3/6/2024,517.98,1293812389,20015000,outgoing
30,10/6/2023,639.14,1293812389,19019000,outgoing
31,12/18/2023,1260.93,1293812389,18009000,incoming
32,1/5/2024,623.13,1293812389,19001000,outgoing
33,2/15/2024,603.36,1293812389,17018000,outgoing
34,2/14/2024,1644.49,1293812389,22016000,outgoing
35,1/6/2024,1916.33,1293812389,19011000,outgoing
36,8/7/2023,360.98,1293812389,19013000,outgoing
37,12/30/2023,2587.26,1293812389,13005032,outgoing
38,3/13/2024,282.83,1293812389,17006001,outgoing
39,3/3/2024,490.03,1293812389,22014000,outgoing
40,12/31/2023,747.99,1293812389,18030000,outgoing
41,4/10/2024,2184.16,1293812389,17006001,outgoing
42,12/17/2023,416.73,1293812389,22009000,outgoing
43,9/20/2023,377.97,1293812389,20015000,incoming
44,3/12/2024,1907.91,1293812389,20015000,outgoing
45,12/7/2023,1211.57,1293812389,22014000,outgoing
46,12/23/2023,692.47,1293812389,19001000,outgoing
47,1/8/2024,2888.44,1293812389,18004000,outgoing
48,2/23/2024,1448.59,1293812389,18004000,outgoing
49,3/19/2024,2547.97,1293812389,13005032,outgoing
50,1/23/2024,114.89,1293812389,17007000,outgoing
51,10/21/2023,2622.77,1293812389,19019000,outgoing
52,11/29/2023,1774.63,1293812389,22016000,outgoing
53,7/22/2023,1994.36,1293812389,20015000,outgoing
